date,promo_rate,tail_mean_h4
2023-11-28,0.090909,0.4938
2023-11-29,0.214286,-0.2344
2023-11-30,0.105263,0.7614
2023-12-01,0.250000,-0.1524
2023-12-04,0.222222,-0.1931
2023-12-05,0.151515,-0.7620
2023-12-06,0.181818,-0.1714
2023-12-07,0.307692,-0.1474
2023-12-08,0.263158,-0.2845
2023-12-11,0.095238,0.7817
2023-12-12,0.100000,0.2396
2023-12-13,0.214286,-0.5284
2023-12-14,0.260870,-0.2629
2023-12-15,0.304348,-0.0013
2023-12-18,0.178571,-0.1497
2023-12-19,0.217391,0.2380
2023-12-20,0.312500,-0.4292
2023-12-21,0.157895,0.0394
2023-12-22,0.166667,-0.1506
2023-12-25,0.153846,0.2612
2023-12-26,0.250000,-0.4931
2023-12-27,0.074074,0.3365
2023-12-28,0.315789,-0.0737
2023-12-29,0.272727,0.1789
2024-01-02,0.055556,-0.3258
2024-01-03,0.156250,0.6409
2024-01-04,0.368421,0.3141
2024-01-05,0.153846,-0.2953
2024-01-08,0.307692,-0.4329
2024-01-09,0.090909,0.6719
2024-01-10,0.242424,-0.6327
2024-01-11,0.272727,-0.0693
2024-01-12,0.179487,-0.1823
2024-01-15,0.214286,-0.0393
2024-01-16,0.125000,1.3094
2024-01-17,0.291667,-1.1129
2024-01-18,0.333333,2.4344
2024-01-19,0.185185,-0.2329
2024-01-22,0.037037,-2.1187
2024-01-23,0.300000,0.3117
2024-01-24,0.406250,2.1099
2024-01-25,0.346154,0.4141
2024-01-26,0.046154,-0.7990
2024-01-29,0.037037,-0.2475
2024-01-30,0.111111,-1.5011
2024-01-31,0.133333,-1.3704
2024-02-01,0.157895,-0.0266
2024-02-02,0.190476,1.0664
2024-02-05,0.047619,-3.7094
2024-02-06,0.250000,-0.3835
2024-02-07,0.230769,0.4058
2024-02-08,0.111111,1.1840
2024-02-19,0.145228,1.1264
2024-02-20,0.189394,0.4364
2024-02-21,0.080000,-1.6433
2024-02-22,0.078947,0.8719
2024-02-23,0.326531,0.6729
2024-02-26,0.138462,-1.0640
2024-02-27,0.238095,1.0965
2024-02-28,0.070175,-2.9482
2024-02-29,0.400000,1.3134
2024-03-01,0.192771,0.7263
2024-03-04,0.195122,0.5182
2024-03-05,0.140000,-0.2685
2024-03-06,0.259259,-0.2357
2024-03-07,0.118644,-0.2911
2024-03-08,0.184211,0.5630
2024-03-11,0.295455,0.7837
2024-03-12,0.147541,0.1818
2024-03-13,0.148936,-0.5208
2024-03-14,0.076923,0.4137
2024-03-15,0.357143,0.6409
2024-03-18,0.200000,0.4560
2024-03-19,0.114754,-0.5305
2024-03-20,0.275000,0.3861
2024-03-21,0.215686,-0.1744
2024-03-22,0.195122,-0.1603
2024-03-25,0.157895,-1.6761
2024-03-26,0.291667,0.2996
2024-03-27,0.121951,-1.6901
2024-03-28,0.192308,-0.3253
2024-03-29,0.131148,0.8096
2024-04-01,0.187500,0.5493
2024-04-02,0.142857,-0.0139
2024-04-03,0.228571,0.0103
2024-04-08,0.129032,-0.4098
2024-04-09,0.065217,0.5035
2024-04-10,0.058824,0.6725
2024-04-11,0.200000,-0.6464
2024-04-12,0.184211,-0.8513
2024-04-15,0.046512,0.0578
2024-04-16,0.086957,-1.4911
2024-04-17,0.333333,0.9499
